E50005300GM0002020An50001753RNTA                                    INDUSTRIE CIGARETTE                     Tunis                                   Boulevard 15 Octobre                                                    00421080                                                                                                                                                                                 
L50005300GM00020200002391035305DAM000 IMPACT                                  VENTEACESSOIRESDIVERS                   47RUELACLEMANIMMMENINXAPTB3LESBERGESDULAC                                                                               000000003927000000000000058905000000000627000000000000156750000000000000000000000000000000000000000000000000000000000000000000003711345                          Morale
L50005300GM000202000024011134390CPM000CFKCHAUDFROIDKARIM                      SERVICEDECLIMATISATION                  26CITEELMANARELMOUROUJBENAROUS2074                                                                                      000000099245800000000001488687000000015845960000000003961490000000000000000000000000000000000000000000000000000000000000000000093795623                          Morale
L50005300GM000202000024111126208RPM000ELWIFEKFLEXIBLES                        confectionetrparationtoustypesdeflexiblesaccessoireshydrauliques23AvTaiebMhiri2014MgrineRiadhBenArous                                                                                   000000009078733000000000136181000000001449540000000000362385000000000000000000000000000000000000000000000000000000000000000000008580167                          Morale
L50005300GM000202000024211080255ZAM000SECURITYSYSTEMCONSULTING                CONSULTING                              N3RUE13AOUT19562EMEETGMARSA2078                                                                                         000000005236000000000000078540000000000836000000000000209000000000000000000000000000000000000000000000000000000000000000000000004948460                          Morale
L50005300GM000202000024311223325PAM000TUNISIENNEFROIDECHAUFFAGECLIMATISATION  climatisation                           22RueelimamaerassaaMonplaisir1002Tunis                                                                                  000000187425000000000002811375000000029925000000000007481250000000000000000000000000000000000000000000000000000000000000000000177132375                          Morale
L50005300GM000202000024411469145YAM000STCISTETUNCOMMERCEINFORMATIQ            COMMERCEETINFORMATIQUE                  30RUEDIRAKANGLEPALESTINETUNIS                                                                                           000000038455800000000000576837000000002515800000000000628950000000000000000000000000000000000000000000000000000000000000000000037250013                          Morale
L50005300GM000202000024511059513WAM000REDACHEMTUNISIESARL                     SERVICESCHAUXFROIDS                     ESPACETUNISBLIMMFAP24MONTPLAISIR1002                                                                                    000000011344733000000000170171000000001811352000000000452838000000000000000000000000000000000000000000000000000000000000000000010721724                          Morale
L50005300GM000202000024611527250ZAM000SAVINODELBENE                           TRANSIT                                 08RUECLAUDEBERNARDTUNIS                                                                                                 000000014119267000000000211789000000009737492000000002434373000000000000000000000000000000000000000000000000000000000000000000011473105                          Morale
L50005300GM000202000024711426829LAM000NEWTECHIT                               assistanceinformatique                  centreUrbainnordimmeubleTamayouzBUREAUC33meEtage1082Tunis                                                               000000007140000000000000107100000000001140000000000000285000000000000000000000000000000000000000000000000000000000000000000000006747900                          Morale
L50005300GM000202000024811450620KAP000ISEG                                    Centredeformation                       47AvHBourguiba1000tunis                                                                                                 000000001440000000000000000000000000000273600000000000068400000000000000000000000000000000000000000000000000000000000000000000001371600                          Morale
L50005300GM00020200002491145275HAM000 SCF                                     Centredeformation                       RueArabieSaouditeappartementN331meEtage1002Tunis                                                                        000000005880000000000000000000000000001117200000000000279300000000000000000000000000000000000000000000000000000000000000000000005600700                          Morale
L50005300GM000202000025011410466XPM000SYNOTEC                                 ENCRESCOLLE                             5AVHABIBBOURGUIBACITELAGHAZELL2086                                                                                      000000002556133000000000038342000000000408120000000000102030000000000000000000000000000000000000000000000000000000000000000000002415761                          Morale
L50005300GM000202000025111613518SAM000LEPOINT                                 Imprimerie                              41bisruedebois2086ZIKsarsaidTunisie                                                                                     000000040834316000000000000000000000007758520000000001939630000000000000000000000000000000000000000000000000000000000000000000038894686                          Morale
L50005300GM000202000025211220548QAP000COMPETENCESPLUS                         FORMATION                               16RUEDELASOLIDARITEARIANASUPERIEURE                                                                                     000000002640000000000000000000000000000501600000000000125400000000000000000000000000000000000000000000000000000000000000000000002514600                          Morale
L50005300GM00020200002531544654GAM000 PROSCOMTUNISIA                          SCEPUBLICITE                            51AVENUEJEANJAURESTUNIS1001                                                                                             000000001598733000000000023981000000000255264000000000063816000000000000000000000000000000000000000000000000000000000000000000001510936                          Morale
L50005300GM000202000025411552653KAM000LESPOIR                                 Quincaillerie                           18BisRuedItalie1001TunisTunis                                                                                           000000012588867000000000188833000000002010000000000000502500000000000000000000000000000000000000000000000000000000000000000000011897534                          Morale
L50005300GM000202000025511335070FAC000SIR                                     SERVICEINFORMATIQUE                     87AvBchiraBenMrad2050HammemlifBenArous                                                                                  000000005247933000000000078719000000000837892000000000209473000000000000000000000000000000000000000000000000000000000000000000004959741                          Morale
L50005300GM00020200002561186759VAM000 INTERCHIMIE                             matrielscientifique                     rue8011EspacedeTunisC34Montplaisir1073TunisTunisie                                                                      000000103683867000000001555258000000006870872000000001717718000000000000000000000000000000000000000000000000000000000000000000100410891                          Morale
L50005300GM00020200002571002495XAM000 CAPCOLOR                                Printures                               BP295RuedelaPhysique2013BenArousTUNISIE                                                                                 000000005287067000000000079306000000000844152000000000211038000000000000000000000000000000000000000000000000000000000000000000004996723                          Morale
L50005300GM000202000025810013995YAM000CODIFET                                 FRIGRIFRIQUEELECTRIQUE                  7RuedelachimieZISidiRzig2033                                                                                            000000001795400000000000026931000000000286660000000000071665000000000000000000000000000000000000000000000000000000000000000000001696804                          Morale
L50005300GM000202000025911600961QAM00 LECLUB                                  RESTAURATION                            81AVFARHATHACHED                                                                                                        000000007846600000000000117699000000000516424000000000129106000000000000000000000000000000000000000000000000000000000000000000007599795                          Morale
L50005300GM000202000026011357286QAM000MARFAMARDENAVIGATIONEYTRANSPORT         TRANSIT                                 ImmeubleMolkablocA3emeetagelesjardindelac21053Tunis                                                                     000000001811200000000000027168000000000235744000000000058936000000000000000000000000000000000000000000000000000000000000000000001725096                          Morale
L50005300GM000202000026111201298KAM000LAVILLABLEUE                            Restauration                            68RueKennedySidiBousaid                                                                                                 000000001674933000000000025124000000000109580000000000027395000000000000000000000000000000000000000000000000000000000000000000001622414                          Morale
L50005300GM000202000026211127998NAM000BENNACERBTP                             TRAVAUX                                 52avenueibenbattoutacitsaadaelfahes                                                                                     000000117774133000000001766612000000018804276000000004701069000000000000000000000000000000000000000000000000000000000000000000111306452                          Morale
L50005300GM00020200002631728358WAC000 BENZINA                                 REPARATION                              TUNIS                                                                                                                   000000031178000000000000467670000000004978000000000001244500000000000000000000000000000000000000000000000000000000000000000000029465830                          Morale
L50005300GM000202000026411266158CAM000HPET                                    HygieneProtectionDenvironnement         73TerAvHBourguibaManouba2010APPAR21                                                                                     000000078492400000000001177386000000012532400000000003133100000000000000000000000000000000000000000000000000000000000000000000074181914                          Morale
L50005300GM00020200002651938018WAM000 SOMAGRI                                 INDUSTRIEDIVERS                         Tunis                                                                                                                   000000002919800000000000043797000000000269800000000000067450000000000000000000000000000000000000000000000000000000000000000000002808553                          Morale
L50005300GM00020200002661513725JAM000 STARELEC                                EquipementsElectriquesIndustrielsetBatiments76Rue18Janvier1952Tunis1001Tunisie                                                                                      000000004463000000000000066945000000000712580000000000178145000000000000000000000000000000000000000000000000000000000000000000004217910                          Morale
L50005300GM000202000026710587602DAM000INEL                                    ETUDEDEPROJET                           ZONEINDUSTRIELLECHOTRANA2083                                                                                            000000020400738000000000000000000000002652096000000000663024000000000000000000000000000000000000000000000000000000000000000000019737714                          Morale
L50005300GM000202000026811115987WAM000ZOOMMEDICAL                             VENTEPRODUITMEDICAL                     29RUEMOUAOUIAETTAMIMIROUTEZAGHOUAN1009                                                                                  000000020269533000000000304043000000001326048000000000331512000000000000000000000000000000000000000000000000000000000000000000019633978                          Morale
L50005300GM00020200002691029902GAM000 FONDO                                   STEDESERVICES                           TUNIS                                                                                                                   000000002205467000000000033082000000000352136000000000088034000000000000000000000000000000000000000000000000000000000000000000002084351                          Morale
L50005300GM000202000027010398358HAM000COMPTOIRDESMETAUXDETUNISIECMT           VENTEDESMETAUX                          TUNIS                                                                                                                   000000001071000000000000016065000000000171000000000000042750000000000000000000000000000000000000000000000000000000000000000000001012185                          Morale
L50005300GM000202000027111181419MAM000IEP                                     EquipmentsIndustrial                    ImmeubleSarraBoulevardPrincipalLesBergesDuLac1053Tunis                                                                  000000077399000000000001160985000000005299000000000001324750000000000000000000000000000000000000000000000000000000000000000000074913265                          Morale
L50005300GM000202000027211546631QAM000FRIGOPARTS                              Reparationdesmachines                   44RueMinereauxZICharguia1Tunis                                                                                          000000001806800000000000027102000000000288480000000000072120000000000000000000000000000000000000000000000000000000000000000000001707578                          Morale
L50005300GM00020200002731045888WAW000 OPTIQUEDISTRIBUTION                     Matrielmdicaloptique                    5rueDjbelLakhdarBebSaadoun1006TunisTunisie                                                                              000000004998000000000000074970000000000798000000000000199500000000000000000000000000000000000000000000000000000000000000000000004723530                          Morale
L50005300GM000202000027411521851TAM000CABNIETAUDITINTERNATIONAL               AUDITCONSEIL                            IMMEUBLEZAARDAPPARTEMENTA24LAC2                                                                                         000000059634862000000000000000000000007752532000000001938133000000000000000000000000000000000000000000000000000000000000000000057696729                          Morale
L50005300GM000202000027511550540SBM000AFI                                     Fournituresindustrielles                34BRueOmKalthoumTunis1001                                                                                               000000000212267000000000003184000000000033896000000000008474000000000000000000000000000000000000000000000000000000000000000000000200609                          Morale
L50005300GM000202000027611590658DAM000ONERENTCAR                              Locationvoitures                        AvAssadIbnFourat8050HammametTunisie                                                                                     000000007350000000000000110250000000001173524000000000293381000000000000000000000000000000000000000000000000000000000000000000006946369                          Morale
L50005300GM00020200002771879655QAM000 GARGOURYFINTRAITEUR                     Restauration                            10RuedelaChimieZIndSidiRzig2033Mgrine2033Mgrine                                                                         000000032681000000000000490215000000002138012000000000534503000000000000000000000000000000000000000000000000000000000000000000031656282                          Morale
L50005300GM000202000027811210883YAM000MACBUREAU                               Mobilierdentreprises                    95RueAnnissaiLesUV42091ELMANZAH5ARIANATUNISIE                                                                           000000020691733000000000310376000000003303720000000000825930000000000000000000000000000000000000000000000000000000000000000000019555427                          Morale
L50005300GM000202000027911427275CAM000PROSYS                                  audiovisualsecurity                     14rue8612ZIcharguia12035ArianaTunisie                                                                                   000000008128600000000000121929000000001297840000000000324460000000000000000000000000000000000000000000000000000000000000000000007682211                          Morale
L50005300GM00020200002801009878PAM000 MTK                                     CigarettesScaferlatis                   BP106LaMansouraKairouan                                                                                                 000040302720933000000604540814000006147872528000001536968132000000000000000000000000000000000000000000000000000000000000000038161211987                                
L50005300GM00020200002811000573KAM000 PareninATLASCOPO                        CommPiecesderechangedevoiture           91AvdeCarthage1000Tunis                                                                                                 000000035955800000000000539337000000000725116000000000181279000000000000000000000000000000000000000000000000000000000000000000035235184                                
L50005300GM000202000028211507461YNC000LAPRIMA                                 RESTAURATION                            17MOHAMEDMANACHOUTUNIS1008                                                                                              000000001463600000000000021954000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001441646                                
L50005300GM0002020000283104616230     HATHATBRAHIM                            VENTEJOURNAUX                           PLACEALIZA                                                                                                              000000005486267000000000082294000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005403973                                
L50005300GM00020200002841029542CAM000 STIMA                                   DiversEngrais                           PassageduLacAmmarRsidenceYasmineL                                                                                       000000011186267000000000167794000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011018473                                
T50005300GM0002020                                                                                                                                                                                                                            000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                
